Year,US Population,Total white,Total black,Total other race,Total unknown race,Total
2004,293656842,6929,6632,365,195,14121
2005,296507061,7133,7125,390,212,14860
2006,299398484,6956,7421,406,207,14990
2007,301621157,6948,7316,345,222,14831
2008,304059724,6838,6782,321,239,14180
2009,307006550,6568,6556,360,152,13636
2010,309330219,6043,6470,331,152,12996
2011,311587816,5825,6329,335,175,12664
2012,313873685,5855,6454,326,130,12765
2013,316128839,5537,6261,308,147,12253
