Year,US Population,Total male,Total female,Total unknown sex,Total
2006,299398484,11508,1151.0,4740,17399.0
2007,301621157,10975,,4859,
2008,304059724,10568,1176.0,4533,16277.0
2009,307006550,10391,1197.0,4172,15760.0
2010,309330219,9972,1075.0,4047,15094.0
2011,311587816,9485,1138.0,3925,14548.0
2012,313873685,9425,1098.0,4058,14581.0
2013,316128839,9085,1085.0,3962,14132.0
