Year,US Population,Total,Under 18,Under 22,18 and over,Infant (under 1),1 to 4,5 to 8,9 to 12,13 to 16,17 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 and over,Unknown age
2006,299398484,295,35,109,253,0,0,0,0,14,61,76,36,25,21,17,9,14,10,1,1,1,2,7
2007,301621157,245,21,82,218,0,0,0,1,7,48,59,35,18,19,19,18,9,0,3,2,0,1,6
2008,304059724,273,31,85,234,0,0,0,0,22,44,54,50,25,20,19,11,6,6,1,3,1,3,8
2009,307006550,245,27,68,215,0,0,0,0,13,36,54,38,18,20,21,11,10,11,4,2,1,3,3
2010,309330219,251,22,65,225,0,0,0,0,13,33,42,45,25,25,18,21,11,3,4,2,3,2,4
2011,311587816,256,20,70,232,0,0,0,0,14,34,55,45,24,17,22,16,10,7,5,0,2,1,4
2012,313873685,240,10,46,226,0,0,0,2,3,16,63,42,28,23,17,13,12,4,4,3,2,4,4
2013,316128839,249,8,32,234,0,0,0,0,5,13,46,53,34,21,23,17,13,6,6,3,0,2,7
