Year,US Population,Total,Under 18,Under 22,18 and over,Infant (under 1),1 to 4,5 to 8,9 to 12,13 to 16,17 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 and over,Unknown age
2006,299398484,4922,13,52,122,0,0,0,1,6,15,43,25,6,10,6,10,4,3,1,2,1,2,4787
2007,301621157,5054,7,39,124,0,0,0,0,4,17,31,34,16,7,6,9,3,2,2,0,0,0,4923
2008,304059724,4727,5,41,143,0,0,0,0,5,17,43,14,17,15,10,13,6,3,4,0,0,1,4579
2009,307006550,4339,4,27,106,0,0,0,0,2,14,25,18,11,12,6,10,6,2,2,0,0,2,4229
2010,309330219,4224,11,35,100,0,0,0,0,6,15,25,17,13,8,6,5,10,2,2,0,0,2,4113
2011,311587816,4077,11,27,96,0,0,0,2,8,8,23,21,14,8,3,4,9,5,1,0,0,1,3970
2012,313873685,4228,16,43,95,0,0,0,3,10,10,23,21,6,11,5,6,11,3,1,0,0,1,4117
2013,316128839,4112,8,28,107,0,0,0,0,6,7,27,18,12,11,2,7,6,5,3,3,0,8,3997
