Year,US Population,Total,Under 18,Under 22,18 and over,Infant (under 1),1 to 4,5 to 8,9 to 12,13 to 16,17 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 and over,Unknown age
2006,299398484,5339,387,1445,4768,0,0,0,3,213,707,1170,818,557,469,377,318,189,124,76,49,33,52,184
2007,301621157,5278,372,1403,4766,0,0,0,4,187,699,1104,803,550,444,405,328,234,158,98,60,23,41,140
2008,304059724,5334,381,1378,4789,0,0,1,4,197,673,1122,856,500,459,409,317,226,152,103,53,35,63,164
2009,307006550,5286,353,1348,4794,0,0,0,5,186,638,1119,781,577,481,341,365,256,142,99,54,34,69,139
2010,309330219,4849,272,1104,4477,0,0,2,6,153,533,956,746,553,424,352,344,258,154,112,60,34,62,100
2011,311587816,4729,254,1038,4386,0,0,1,6,128,499,904,747,559,408,359,330,292,153,105,54,40,55,89
2012,313873685,4582,234,971,4240,0,0,1,8,125,452,918,657,579,422,340,294,241,172,103,55,41,66,108
2013,316128839,4396,209,885,4087,0,0,0,6,104,399,899,671,550,365,317,298,266,146,88,83,36,68,100
