Year,US Population,Total,Under 18,Under 22,18 and over,Infant (under 1),1 to 4,5 to 8,9 to 12,13 to 16,17 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 and over,Unknown age
2006,299398484,4740,3,11,25,0,0,0,0,3,0,10,4,2,1,0,5,3,0,0,0,0,0,4712
2007,301621157,4859,2,7,25,0,0,0,0,2,1,6,11,1,0,1,1,2,1,1,0,0,0,4832
2008,304059724,4533,1,9,34,0,0,0,0,1,2,11,4,2,3,4,3,3,1,0,0,0,1,4498
2009,307006550,4172,0,3,21,0,0,0,0,0,0,4,7,0,2,1,4,0,1,1,0,0,1,4151
2010,309330219,4047,0,1,13,0,0,0,0,0,0,2,1,4,0,0,0,3,1,0,0,0,2,4034
2011,311587816,3925,5,6,26,0,0,0,2,3,0,3,6,3,5,0,0,6,3,0,0,0,0,3894
2012,313873685,4058,6,11,25,0,0,0,1,5,0,6,6,1,2,1,0,6,2,0,0,0,1,4027
2013,316128839,3962,2,11,31,0,0,0,0,2,2,10,4,3,1,1,1,4,0,0,0,0,5,3929
