Year,US Population,Total,Under 18,Under 22,18 and over,Infant (under 1),1 to 4,5 to 8,9 to 12,13 to 16,17 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 and over,Unknown age
2006,299398484,1151.0,78.0,251.0,1053.0,0.0,0.0,0.0,2.0,47.0,105.0,253.0,197.0,124.0,134.0,98.0,81.0,37.0,24.0,12.0,8.0,3.0,6.0,20.0
2007,301621157,,,,,,,,,,,,,,,,,,,,,,,
2008,304059724,1176.0,80.0,289.0,1076.0,0.0,0.0,1.0,1.0,48.0,138.0,252.0,193.0,125.0,129.0,96.0,76.0,42.0,23.0,13.0,9.0,3.0,7.0,20.0
2009,307006550,1197.0,73.0,280.0,1097.0,0.0,0.0,0.0,1.0,43.0,123.0,253.0,195.0,152.0,113.0,105.0,78.0,51.0,29.0,14.0,6.0,5.0,2.0,27.0
2010,309330219,1075.0,76.0,257.0,990.0,0.0,0.0,0.0,3.0,42.0,130.0,229.0,163.0,136.0,93.0,77.0,67.0,67.0,24.0,11.0,8.0,9.0,7.0,9.0
2011,311587816,1138.0,57.0,241.0,1073.0,0.0,0.0,0.0,0.0,29.0,116.0,235.0,187.0,125.0,109.0,118.0,90.0,64.0,21.0,18.0,8.0,4.0,6.0,8.0
2012,313873685,1098.0,55.0,231.0,1031.0,0.0,0.0,0.0,4.0,26.0,106.0,252.0,182.0,144.0,89.0,81.0,80.0,55.0,35.0,17.0,6.0,5.0,4.0,12.0
2013,316128839,1085.0,35.0,221.0,1035.0,0.0,0.0,0.0,0.0,21.0,102.0,249.0,168.0,151.0,95.0,90.0,73.0,64.0,29.0,12.0,8.0,3.0,5.0,15.0
