Year,State,Population,Number of agencies,Total law enforcement employees,Total male officers,Total female officers,Total male civilians,Total female civilians
2007,ALABAMA,4533379,363,16347,9919,752,2048,3628
2007,ALASKA,681180,40,1888,1088,116,235,449
2007,ARIZONA,6054541,94,22144,11041,1313,4469,5321
2007,ARKANSAS,2832708,272,8455,5006,580,1107,1762
2007,CALIFORNIA,31683834,459,120976,68521,9995,15269,27191
2007,COLORADO,4807287,228,16756,9939,1448,1754,3615
2007,CONNECTICUT,3502309,101,9873,7262,711,783,1117
2007,DELAWARE,853364,53,3125,1952,284,337,552
2007,DISTRICT OF COLUMBIA,588292,3,5021,3320,982,291,428
2007,FLORIDA,18251243,461,74562,38409,6251,11046,18856
2007,GEORGIA,7708266,350,28979,17594,3391,2508,5486
2007,HAWAII,1283388,4,3678,2596,285,237,560
2007,IDAHO,1496944,107,4068,2484,174,424,986
2007,ILLINOIS,12813230,757,53537,31524,5778,7748,8487
2007,INDIANA,5961949,242,16163,9944,766,2460,2993
2007,IOWA,2976754,234,7812,4760,394,995,1663
2007,KANSAS,2691761,330,10532,6567,654,1295,2016
2007,KENTUCKY,4210320,377,10301,7524,545,844,1388
2007,LOUISIANA,3983159,185,20981,12577,2556,2018,3830
2007,MAINE,1294381,132,3012,2125,136,339,412
2007,MARYLAND,5439792,130,20600,13396,2069,1957,3178
2007,MASSACHUSETTS,6366891,333,20325,15479,1348,1421,2077
2007,MICHIGAN,10018999,624,26318,16835,2645,2990,3848
2007,MINNESOTA,5065797,320,13514,7676,1038,1999,2801
2007,MISSISSIPPI,2375636,170,8651,4782,440,1303,2126
2007,MISSOURI,5835175,576,19951,12740,1382,2187,3642
2007,MONTANA,957619,108,2741,1625,109,454,553
2007,NEBRASKA,1700074,158,4621,2988,361,343,929
2007,NEVADA,2565382,37,9537,5718,677,747,2395
2007,NEW HAMPSHIRE,1167387,148,3256,2287,179,248,542
2007,NEW JERSEY,8405701,529,41672,29733,2674,3395,5870
2007,NEW MEXICO,1850280,95,5644,3710,373,499,1062
2007,NEW YORK,18883746,427,86952,53742,8579,8019,16612
2007,NORTH CAROLINA,9036361,496,30631,19098,2405,3932,5196
2007,NORTH DAKOTA,638897,99,1664,1090,110,181,283
2007,OHIO,10072335,625,30950,19591,2299,3547,5513
2007,OKLAHOMA,3617316,294,11266,6735,548,1657,2326
2007,OREGON,3712636,202,10022,5349,623,1680,2370
2007,PENNSYLVANIA,9052251,997,29582,22245,2696,1771,2870
2007,RHODE ISLAND,1057832,47,3240,2392,186,305,357
2007,SOUTH CAROLINA,4406102,379,14999,9739,1295,1384,2581
2007,SOUTH DAKOTA,792578,142,2220,1323,97,346,454
2007,TENNESSEE,6150558,446,24698,13898,1448,4349,5003
2007,TEXAS,23413736,995,84403,45425,5552,14424,19002
2007,UTAH,2644187,131,7827,4315,315,1579,1618
2007,VERMONT,342945,63,1481,1019,88,123,251
2007,VIRGINIA,7710724,280,23306,15987,2094,1444,3781
2007,WASHINGTON,6459529,248,14637,9394,973,1423,2847
2007,WEST VIRGINIA,1799090,345,4212,3189,110,351,562
2007,WISCONSIN,5598633,373,18732,11175,1795,2119,3643
2007,WYOMING,519988,67,2092,1280,124,179,509
2008,ALABAMA,4437374,350,16172,9988,787,2005,3392
2008,ALASKA,686293,43,1963,1144,116,234,469
2008,ARIZONA,6382545,95,22912,11520,1380,4537,5475
2008,ARKANSAS,2850876,275,9678,5560,504,1326,2288
2008,CALIFORNIA,31804738,459,123506,70594,10692,14739,27481
2008,COLORADO,4869988,224,16859,10117,1491,1711,3540
2008,CONNECTICUT,3501252,102,10657,7845,787,812,1213
2008,DELAWARE,871838,52,3159,1998,298,323,540
2008,DISTRICT OF COLUMBIA,591833,2,5190,3455,1000,291,444
2008,FLORIDA,18297732,402,73872,38114,6362,10849,18547
2008,GEORGIA,8931253,427,33209,20514,3775,2996,5924
2008,HAWAII,1288198,4,3795,2687,310,245,553
2008,IDAHO,1519310,106,4461,2512,174,520,1255
2008,ILLINOIS,12846505,749,52561,31496,5752,7392,7921
2008,INDIANA,5623508,222,15877,9690,770,2469,2948
2008,IOWA,2967083,232,8031,4770,398,1093,1770
2008,KANSAS,2550708,331,10284,6198,613,1416,2057
2008,KENTUCKY,4141804,365,10188,7275,534,1026,1353
2008,LOUISIANA,4293435,200,22621,13960,3346,1586,3729
2008,MAINE,1315497,133,2961,2107,138,308,408
2008,MARYLAND,5456159,132,20797,13538,2081,1988,3190
2008,MASSACHUSETTS,6281021,331,20173,15250,1359,1490,2074
2008,MICHIGAN,9948437,618,26495,17010,2494,3028,3963
2008,MINNESOTA,5145905,320,13697,7805,1063,2005,2824
2008,MISSISSIPPI,2489444,167,8243,4648,429,1271,1895
2008,MISSOURI,5860645,578,20319,13039,1398,2231,3651
2008,MONTANA,931062,104,2661,1545,106,445,565
2008,NEBRASKA,1770070,165,4810,3106,385,342,977
2008,NEVADA,2600167,37,8841,5194,534,866,2247
2008,NEW HAMPSHIRE,1156970,147,3373,2367,199,245,562
2008,NEW JERSEY,8400257,546,42022,29640,2739,3669,5974
2008,NEW MEXICO,1805058,97,5765,3730,390,548,1097
2008,NEW YORK,18103583,342,80949,52722,8607,5780,13840
2008,NORTH CAROLINA,9189952,499,32028,19488,2563,4368,5609
2008,NORTH DAKOTA,640830,100,1673,1110,114,179,270
