Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2010

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Winchester Police Dept,VA,12,      26203,          56,           0,           8,          20,          28,       1127,         146,         958,          23,         213.7,            .0,          30.5,          76.3,         106.9,       4301.0,         557.2,       3656.1,          87.8
Wise County Sheriff Office,VA,12,,          37,           1,           9,           2,          25,         402,         116,         264,          22,,,,,,,,,
York County Sheriff Office,VA,12,,          85,           0,           4,          21,          60,       1205,         206,         965,          34,,,,,,,,,

"Notes: When data are unavailable, the cells are blank or the year is not presented."

          Crime rates are not available for agencies that report data for less than 12 months of a year.

"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data" 
Date of download: Sep 12 2016 
